date	concept	depth	subtopics	bridges	frontiers	domain_focus	note
2026-06-15	imf-cr-25-45-fsap-table-and-dpa-section40-exact-language	quick	dpa-act-section40-exact-text|section41-dpa-right-to-request-bot|section43-enforcement|section25-board-authority|section66-penalty-correction|imf-2025-ongoing-efforts-unimplemented	section41->dpa-independent-bot-request-right->section39-redundant-path|section25-board-authority->section40-board-resolution->iadi-other-arrangements|section66-corrects-section63-citation-error|imf-ongoing-efforts-language->coordination-body-not-implemented->reform-urgency	regulatory	⚠️ SECTION CORRECTION: penalty for Section 40 non-compliance = Section 66 (THB 500K + THB 5K/day), NOT Section 63 (which = liquidation authority); Section 40 exact text confirmed; Section 41 = DPA own right to request from BOT (independent of Section 39); Section 25 = Board policy authority basis for board resolution; IMF ongoing-efforts language in CR 25/45 signals coordination body still not implemented Feb 2026
2026-06-15	section41-reasonable-suspicion-threshold-and-revised-three-channel-framework	quick	section41-exact-condition|section40-only-unconditional-channel|section41-emergency-not-routine|iadi-cp-ongoing-requirement|bot-dec2024-notification-blocked	section41-reasonable-suspicion->distress-trigger-NOT-routine|section40->only-unconditional-proactive->iadi-cp-compliant|section41-CANNOT-satisfy-iadi-cp-ongoing|three-channel-revised:S40-unconditional-S41-conditional-S39-discretionary	regulatory	CRITICAL REVISION: Section 41 is NOT routine monitoring right -- it requires reasonable suspicion FI may cause public damage; only Section 40 gives DPA unconditional proactive data access; IADI CP ongoing requirement cannot be satisfied by Section 41 alone; BOT Dec 2024 notification PDF blocked (binary); Section 40 Board resolution is NOW the single most critical DPA reform item before CLICX launch
2026-06-15	dpa-board-composition-and-section40-procedural-path	quick	dpa-board-bot-representative-not-governor|dpa-president-songpol|bot-governor-vitai-ratanakorn|board-voting-simple-majority|iadi-cp-sep2025-published-toc-only	bot-representative->simple-majority-cannot-block-s40|dpa-board-size-5-7->3-4-votes-required|iadi-cp-sep2025->legislation-regulation-mou-other-arrangements	regulatory	DPA Board has BOT representative (not BOT Governor personally); simple majority vote = BOT cannot block Section 40 resolution; DPA President = Songpol Chevapanyaroj; BOT Governor since Oct 2025 = Vitai Ratanakorn; IADI CP Sep 2025 PDF accessible at iadi.org but only TOC extracted; 15-iteration DPA regulatory thread now ready for consolidated synthesis note
2026-06-15	dpa-data-access-framework-synthesis-note-written	quick	dpa-data-access-framework.md-created|index-updated-94-pages|log-appended	dpa-deposit-protection->data-access-framework|iadi->four-tier-ladder->section40-compliant|clicx-monitoring-gap->section40-urgency	regulatory	SYNTHESIS NOTE WRITTEN: md/wiki/concepts/dpa-data-access-framework.md created; three-channel framework documented with exact statutory conditions; CLICX monitoring gap and IMF FSAP unimplemented status included; fastest reform path table; index updated (93->94 pages); next: fetch IADI CP Sep 2025 exact text for CP7/CP8
2026-06-15	ffiec-camels-2026-reform-and-iadi-cp-retrieval-gap	quick	ffiec-camels-npr-may-2026|management-component-decoupled|remove-special-consideration|m-factors-narrowed|iadi-cp-persistent-retrieval-gap	ffiec-camels-reform->svb-failure->management-rating-2-before-collapse|camels-m-decoupling->institution-profile-framework-update|iadi-cp-all-mirrors-403->retrieval-gap-permanent	regulatory	FFIEC CAMELS NPR May 19 2026: removes special-consideration for M in composite; narrows M factors (remove depth/succession + auditor-responsiveness + community-banking); Aug 17 comment deadline; all FFIEC agencies; SVB motivation; IADI CP Sep 2025 body text PERSISTENTLY INACCESSIBLE via WebFetch (iadi.org, dic.go.jp, ndic.gov.ng all return TOC only); four-tier ladder language in wiki note is from prior research, not Sep 2025 primary source
2026-06-15	camels-entity-page-and-svb-scor-research	quick	ffiec-npr-management-decoupled|svb-camels-2-before-failure|fdic-scor-logit|gao-25-106771|bot-pairs-thai-equivalent|iadi-cp-unverified-caveat	ffiec-camels-reform->svb-backward-looking-blind-spot|scor-false-negative->camels-limitation|bot-pairs->thai-camels-equivalent|iadi-cp-unverified->dpa-framework-caveat-added	regulatory	CAMELS entity page created (camels.md); FFIEC 2026 NPR documented; SVB CAMELS composite 2 before failure; FDIC SCOR ~67% FNR; GAO-25-106771; BOT PAIRS stub; dpa-data-access-framework.md [UNVERIFIED] caveat added for IADI four-tier ladder language
2026-06-15	dpa-resolution-cost-framework-and-readiness	quick	iadi-cp15-7-working-days|iadi-3day-aspiration|fdic-fire-sale-3232pp|iadi-2026-global-trends-march-2026|apac-5day-median|depositor-db-binding-constraint	iadi-cp15-7wd->correction-from-5bd|iadi-aspiration-3days->dpa-goal-gap|fdic-fire-sale->resolution-cost-calibration|iadi-2026-report->supersedes-2025|depositor-db->binding-payout-constraint	regulatory	resolution-readiness.md created; IADI CP 15 CORRECTION: 7 working days (not 5 business days); 3-day aspiration new Sep 2025; IADI 2026 Trends Report (March 2026) identified; APAC median 5 days; FDIC fire-sale +3.232pp; CLICX scenario; depositor DB as binding constraint
2026-06-14	bank-closure-simulation	quick	15	3	5	—	RE-EXPANSION: integrated 6 autoresearch findings; 4 new clusters H/I/J/K; Delayed-Peak Theorem (arXiv 2602.16186), FDIC 2025 bridge-bank de-emphasis, CBDC run-destination (arXiv 2510.21071), Stanford survival-clause intervention, 30-indicator synthetic schema (arXiv 2511.13384), FSB CCP resolution; 3 new frontier queue items prepended; 8 new graph nodes added
2026-06-14	bank-rating-model	quick	14 (4 clusters)	4	5	general finance / regulatory	RE-EXPANSION anchoring [[bank-profile-rating]], [[camels]], [[bicra]], [[standalone-credit-assessment]], [[institution-profile]] as [known]; new territory: quantitative model architecture (PIT/TTC, IRB, structural, ML), rating process (validation, XAI, pro-cyclicality), Fed LFI 2025; 11 new nodes queued; 3 new priority-1 frontier entries; ⚠️ contested: CAMELS vs agency ratings — which predicts failure earlier? (Curry 2008 vs Cole/White 2012 vs SVB 2023 postmortem); recent: FFIEC May 2026 Management component reform; practitioner–academic divide: agencies claim TTC but behave as "sluggish PIT" (Loffler 2004 8-quarter lag)
2026-06-16	camels-management-reform-2026	quick	14 (4 clusters)	5	5	regulatory / Thai banking	NPR May 19 2026: removes M "special consideration" from composite; deletes 4 M factors (depth/succession, auditor-responsiveness, community-banking, overall IDI performance); adds material financial risk gate for M≥3; restricts BSA/AML specialty reviews from driving composite downgrades; eliminates "but not limited to" examiner discretion language; first UFIRS revision since 1996; comment deadline Aug 17 2026; ABA supportive; BPI proposes abolishing M for small banks → CAELS; OCC Comptroller Gould: double-counting persists; SVB CAMELS composite 2 before failure = primary rationale; 5 new nodes queued (Thai BOT equivalent, Pillar 6 update, specialty review restriction, market signals, already-queued rows 53/55); row 54 removed from frontier queue
2026-06-16	bot-camels-equivalent	quick	12 (4 clusters)	4	5	Thai banking	KEY FINDING: BOT supervisory rating is composite, forward-looking, risk-based, dual scope (quantitative+governance/risk management quality); rating system is supervisory-confidential with no confirmed public name ("PAIRS" acronym [UNVERIFIED]); 4 confirmed bridges (SREP/EBA, Basel BCPs, BICRA, insurance ORSA); IMF FSAP Thailand 2019 primary source inaccessible (403 Forbidden); BOT Notification PDF binary; World Bank BCP Thailand PDF binary; 3 new nodes queued: BOT Virtual Bank Supervision 2025 (Score 11), SREP vs BOT comparison (Score 10), BOT Pillar 2 IRRBB examination (Score 9); bot-camels-equivalent removed from frontier queue
2026-06-16	statistical-camels-alternatives	quick	5	3	5	regulatory / general finance	KEY FINDING: FDIC SCOR (stepwise logit, 12 ratios) has ~2/3 false-negative AND ~2/3 false-positive rate on downgrade prediction; OCC Canary = 15 benchmarks across credit/liquidity/IRR for banks <$1B; corrected frontier-queue naming — "Outlier Metrics" is a Fed HC-SABR feature, not a standalone system (SR-SABR is bank-level, HC-SABR is holding-company-level); academic Random Forest/XGBoost literature beats production logit but unadopted by any agency; FFIEC 2026 NPR reforms rating framework not statistical tools — two disconnected reform tracks; SVB CAMELS-1 liquidity rating before failure shows qualitative+quantitative layers failed simultaneously; no Thai BOT equivalent documented; 5 new nodes queued
2026-06-16	irb-internal-ratings-based	quick	14 (4 clusters)	3	5	regulatory	Parent: [[bank-rating-model]]; 4 clusters (Architecture/F-IRB/A-IRB, Scope/Asset Classes, Regulatory Process, ML Frontier); ⚠️ contested: output floor calibration at 72.5% — EBF argues too conservative, US industry argued insufficient; recent: US Basel III Endgame reproposed 2025 (fragmented timeline globally); EU CRR3 Jan 2025, UK Basel 3.1 Jan 2027; practitioner-academic divide: A-IRB still useful for SME retail vs. regulators say 25-35% RWA gap persists; 3 new queue entries (Output Floor Score:11, FRTB IMA Score:11, Downturn LGD Score:10); confirmed relationships: [[bank-rating-model]], [[camels]], [[standalone-credit-assessment]], [[bicra]], [[bank-profile-rating]]
2026-06-16	basel-iv-output-floor	quick	14 (4 clusters)	3	5	regulatory / Thai banking	Parent: [[irb-internal-ratings-based]]; domain: Thai banking; 4 clusters (Mechanism/Formula, Jurisdictional Implementation, Impact Analysis, Business Model Response); KEY FINDING: BOT targeting Jan 2028 enforcement; Thai CAR 21.3% = large insulation buffer; Thai banks predominantly SA-only → floor may not bind at all; CLICX/virtual banks SA-only by default; ⚠️ contested: 72.5% calibration — EU/UK at 72.5% vs US softening op risk floor to 40-60% in March 2026 reproposal; recent: US Endgame reproposal consultation ends June 18, 2026 (today); aggregate vs per-asset-class floor = unresolved methodological debate; 3 new queue entries (BOT QIS Score:11, US Endgame Reproposal Score:11, Revised SA-CR Score:10); 5 confirmed relationships added
2026-06-16	pit-vs-ttc-rating-methodology	quick	14 (4 clusters)	3	5	general finance / regulatory	Parent: [[bank-rating-model]] + [[camels]]; 4 clusters (Core Definitions, Regulatory Application Divide, Cycle Dynamics, Validation/Estimation); KEY FINDING: PIT-ness is a spectrum not binary (2012 framework); pure PIT or TTC not practically achievable — most models are hybrids; ⚠️ contested: agencies claim TTC but Löffler 2004 shows ~8-quarter "sluggish PIT" lag — no empirical resolution; recent: EBA Q&A 2025_7634 confirms MoC-calibration philosophy link still unresolved nearly a decade after EBA/GL/2017/16; practitioner-academic divide: banks treat as dual-system operational burden vs academics question whether TTC achieves stated countercyclical goal given CAMELS procyclicality evidence; 3 new queue entries (CCyB Score:10, Löffler Empirical Note Score:9, EBA MoC Score:9); 4 confirmed relationships added
2026-06-18	bot-qis-thai-dsib-floor-binding	quick	5	3	5	Thai banking	Parent: [[basel-iv-output-floor]]; KEY FINDING: Deutsche Bank Bangkok Branch Pillar 3 confirms Standardized Approach use — first concrete Thai-operating bank SA/IRB data point found this session, closing part of the IRB review's standing GAP1; BOT Notification 9-2562 confirmed to govern SA rules; domestic D-SIBs (BBL/KBANK/SCB/KTB/Krungsri) disclosures not confirmed either way — foreign branches appear more transparent on this than domestic banks; BCBS d609 (March 2026): global aggregate floor-driven capital shortfall only €1.0bn, impact "negligible" early in phase-in (0.1% Group 1, 0.5% Group 2); ⚠️ contested: whether BOT's 2028 target reflects genuine urgency or just convention given negligible global impact so far; BOT QIS results themselves remain unpublished; 3 new queue entries (Thai D-SIB Pillar 3 Audit Score:11, BOT IRB Notification Lookup Score:11, BCBS d609 Asia-Pacific Breakdown Score:9); removed from queue
2026-06-18	us-basel-endgame-reproposal-2026	quick	12 (3 clusters)	3	5	regulatory	Parent: [[basel-iv-output-floor]]; CORRECTS prior characterization (was framed as op-risk floor softening 40-60%) — actual finding: ERBA (Expanded Risk-Based Approach) FULLY ELIMINATES internal models for credit AND operational risk, retains models only for market risk; 3 separate proposals (ERBA, Standardized, GSIB Surcharge) issued March 19 2026; avg CET1 impact +1.2% but heterogeneous — 1/3 of sub-$100bn banks see 5-10% reductions; Fed vote 6-1, Governor Barr dissent cites Collins Amendment (US-specific statutory floor, no EU/UK/Thai equivalent); 2023 original proposal drew 97% opposition (356 material comments), BPI "Stop Basel Endgame" campaign; comment period only 3 months (vs typical 6), deadline June 18 2026; ⚠️ contested: Barr's Collins Amendment compliance concern vs majority's view it's not a real legal risk; 3 new queue entries (Collins Amendment Score:11, ERBA Opt-In Mechanics Score:9, 2023-vs-2026 Comparison Score:9); removed from queue
2026-06-18	frtb-internal-models-approach	quick	8 (3 clusters)	3	5	regulatory	Parent: [[irb-internal-ratings-based]]; KEY FINDING: US treats SA as a CAP on IMA capital — structurally inverse to IRB's SA-as-floor; PLAT exact thresholds confirmed (Mean Ratio 10%, Variance Ratio 20%, monthly reporting); NMRF modellability observation threshold reduced 100→24 in US proposal with Type A (lighter charge)/Type B (original) split; EU deferred to Jan 2027 with temporary multiplier; APAC patchwork (HK/Singapore 2025, Australia 2026); no Thai FRTB/IMA disclosure found — parallel gap to credit-risk IRB audit; ⚠️ contested: NMRF procyclicality/risk-concentration concern vs whether threshold reduction is genuine data-fix or capital relief; 3 new queue entries (PLAT Desk Demotion Score:10, NMRF Procyclicality Score:9, Thai FRTB Disclosure Check Score:9); removed from queue
2026-06-18	downturn-lgd-calibration-methodology	quick	5 (3 clusters)	3	5	regulatory	Parent: [[irb-internal-ratings-based]]; CORRECTS prior characterization — primary source confirmed as EBA/GL/2019/03 (not "EBA 2022 guidelines" as previously stated); EBA's actual June 2022 COVID guidance (4 principles) mandated POSTPONING downward LGD recalibration until pandemic effects fully materialized in loss rates — opposite emphasis from "COVID required retroactive recalibration"; Type-1 (sufficient data)/Type-2 (insufficient data, haircut or extrapolation) approach split; "most conservative add-on wins" principle; numerical example: downturn LGD ~7.73% relatively higher (~2pp absolute) than long-run average; recent: UK PRA SS4/24 (effective Jan 2026) has its own downturn LGD section, potential EU/UK divergence; ⚠️ contested: whether EBA's COVID caution was prudentially correct vs excessively conservative given structural (not just delayed) changes from government support programs; 3 new queue entries (UK PRA SS4/24 Score:10, COVID Recalibration Resolution Score:8, MoC Practitioner Critique Score:8); removed from queue
2026-06-18	countercyclical-capital-buffer	quick	6 (2 clusters)	3	5	Thai banking / regulatory	Parent: [[pit-vs-ttc-rating-methodology]]; KEY FINDING: BOT confirmed to have a CCyB framework ("as determined by BOT") per Chambers Thailand financial services guide, but current Thai rate not located via WebSearch (BIS dashboard updated Apr 24 2026 likely has it, not retrieved); mechanism: credit-to-GDP gap via one-sided HP filter, Basel threshold 2% for zero buffer; CCyB and TTC solve the same procyclicality problem at different levels (macro lever vs model design) — CCyB arguably more honest since it doesn't ask models to misrepresent current risk; ⚠️ contested: CEPR "build early" critique — many jurisdictions may not build headroom early enough; recent: ECB Aug 2025 Macroprudential Bulletin examines early-activation timing vs monetary policy interaction; 3 new queue entries (BOT CCyB Rate History Score:10, Thai Credit-to-GDP Gap Score:9, Build-Early Cross-Country Critique Score:8); removed from queue
2026-06-18	loffler-sluggish-pit-empirical-note	quick	8 (2 clusters)	3	5	general finance	Parent: [[pit-vs-ttc-rating-methodology]] + [[standalone-credit-assessment]]; REVISES CONFIDENCE in earlier session synthesis — Löffler's actual finding is two-part: high rating stability (consistent with TTC) + low default-prediction power, which Löffler himself frames as the EXPECTED consequence of choosing TTC method, not "sluggishness" or error; methodology = structural default model (Kalman filter permanent/cyclical decomposition) benchmarked against credit-scoring models; KEY NEW FINDING: Nejad (2024, Rev Financial Economics) — downgrades during credit crunches NOT reversed over 1-5 years, interpreted by Nejad as supporting GENUINE TTC (persistent fundamental deterioration), not sluggish PIT; ⚠️ central contested claim sharpened and complicated — this session's earlier PIT/TTC review may have leaned too far toward the skeptical "sluggish PIT" framing without fully crediting Löffler's own more neutral interpretation or Nejad's 2024 complication; recent: "Have Ratings Become More Accurate?" (2024) suggests prediction power may be improving since Löffler's 2004 baseline; 3 new queue entries (Reversal/Non-Reversal Discriminator Score:10, Post-Löffler Accuracy Update Score:9, Sovereign Non-Reversal Case Study Score:8); removed from queue
2026-06-18	revised-basel-iv-sa-cr	quick	8 (2 clusters)	3	5	regulatory / Thai banking	Parent: [[basel-iv-output-floor]]; KEY FINDING: SA-CR revision explicitly targets 4 named Basel II weaknesses (external-rating dependence, low risk sensitivity, outdated calibration, IRB incomparability); real estate now LTV-driven; UNRATED CORPORATE FAULT LINE — Basel text prescribes 100% weight, EU CRR3 carves out 65% for PD≤0.5% ("most EU firms do not generally seek ratings"), UK gives PRA discretion (Art 122(6)) instead of a fixed rule; Thai corporate rating penetration unknown (TRIS + Fitch Thailand only domestic ECAIs) but structurally likely to face the same EU-style mismatch; no BOT position found; recent: BoE SS1/13 Jan 2026 update shows UK guidance still being refined; 3 new queue entries (Thai Rating Penetration Score:10, BOT SA-CR Treatment Score:9, Securitization Parallel Score:8); removed from queue
2026-06-18	eba-margin-of-conservatism-framework	quick	5 (2 clusters)	3	5	regulatory	Parent: [[pit-vs-ttc-rating-methodology]]; KEY FINDING: exact EBA Q&A 2025_7634 question text recovered, corroborating earlier session's primary EBA/GL/2017/16 finding word-for-word ("describe the three MoC categories... but do not explicitly refer to any link" between MoC and PIT/TTC philosophy); Category A trigger list confirmed (missing/changed default triggers, missing default dates, missing/outdated rating info, missing/inaccurate cash-flow/risk-driver data); Category C uses concrete "k-sigma" method (estimator std dev × factor k); MoC mandatory since Jan 2021 — 4-year gap before PIT/TTC Q&A appeared; academic literature (Liu numerical example, AIFIRM Position Paper 13) built independent MoC quantification methodology ahead of formal EBA clarification; 3 new queue entries (k-Sigma Full Spec Score:9, EBA Q&A Full Answer Score:8, Actuarial MoC Parallel Score:8); removed from queue — ALL 8 BATCH 2 FRONTIER-QUEUE ITEMS NOW COMPLETE
2026-06-16	bot-statistical-early-warning-gap	quick	4	3	5	Thai banking	KEY FINDING: BOT confirms it runs an off-site early-warning process but discloses neither model name nor methodology — stricter confidentiality than US (SCOR/Canary methodology is public even though bank-level outputs aren't); closest public proxy is ASEAN academic logit/probit literature (UKM 2020, ~86% accuracy, ETA/NIN as strongest predictors) — not an official BOT tool; BOT's June 12 2025 AI Risk Management draft (FEAT principles) regulates FIs' AI use with drift-detection/fairness requirements but discloses nothing about BOT's own surveillance methodology — asymmetry flagged as contested frontier; virtual bank surveillance still undocumented ahead of CLICX June 19 2026 launch; 3 new nodes queued: BOT AI Risk Management Guiding Principles detail (Score 11), ASEAN bank failure prediction literature (Score 9), FEAT vs EU AI Act comparison (Score 9)
2026-06-17	bank-simulation-chatbot-omnidetail	quick	15	6	5	Thai banking / AI architecture	Parent: [[prototype-bank-tfrs9-v2]]; KEY FINDING: bank simulation agent splits into 2 mandatory layers — deterministic computation engine (6-phase) + LLM orchestration (LLM must NOT perform in-context arithmetic); MIT thesis Sert 2025 + neuro-symbolic arxiv 2603.04663 confirm this architecture; FAITH (arxiv 2508.05201) benchmarks tabular hallucination — no TFRS9-identity-specific benchmark yet (empirical gap); Supervisory Digital Twin Framework = central banks building AI replicas of systemic FIs inside supervisory systems (regulatory deployment path for this vault's BOT/DPA context); 72% banks unprepared for AI failure (June 2026 survey); kill-switch gap growing; ⚠️ contested: LLM-native vs tool-calling for financial arithmetic (neuro-symbolic vs. chain-of-thought camps); 3 new queue entries: LLM Tool-calling layer (Score 12), Hallucination Guardrails (Score 11), Supervisory Digital Twin Framework (Score 11)
